OBJECTID,Address,City,State,Zip Code,Location,Hours of Operation,Contact,Services Offered,More Information,Website,County,Latitude,Longitude
24,4851 Museum Drive,Mobile,AL,36608,City of Mobile Recycling Center,"Monday - Friday
7:00 AM to 5:00 PM

Saturday - Sunday
7:00 AM to 4:00 PM",,"Phones
PCs (personal computers)
Desktop Computers/CPUs
Laptops/Notebooks
Servers
Mainframe computers
Keyboard, Mouse, etc.
Dehumidifiers
Scanners
Printers
Fax Machines
Power Supply Systems
Photocopiers
Telephone Systems
Computer Board/Parts
Flat Screen Monitors
Household Appliances
Electric Motors
Integrated Circuits
Microphones
VCR/DVD Players
Gaming Systems (Xbox, Nintendo, PlayStation, etc.)
Surge Protectors
CD Players
Cell Phones
Aluminum, copper, brass, steel",,https://www.cityofmobile.gov/public-works/recycling/,Mobile,30.70342417262290,-88.15429255369730
25,308 Pinehill Drive,Mobile,AL,36606,City of Mobile Recycling Center,"Monday - Friday
7:00 AM to 5:00 PM

Saturday - Sunday
7:00 AM to 4:00 PM",,"Phones
PCs (personal computers)
Desktop Computers/CPUs
Laptops/Notebooks
Servers
Mainframe computers
Keyboard, Mouse, etc.
Dehumidifiers
Scanners
Printers
Fax Machines
Power Supply Systems
Photocopiers
Telephone Systems
Computer Board/Parts
Flat Screen Monitors
Household Appliances
Electric Motors
Integrated Circuits
Microphones
VCR/DVD Players
Gaming Systems (Xbox, Nintendo, PlayStation, etc.)
Surge Protectors
CD Players
Cell Phones
Aluminum, copper, brass, steel",,https://www.cityofmobile.gov/public-works/recycling/,Mobile,30.67631792433590,-88.09764578978860
26,1750 Dauphin Island Parkway,Mobile,AL,36605,City of Mobile Recycling Center,"Monday - Friday
7:00 AM to 5:00 PM

Saturday - Sunday
7:00 AM to 4:00 PM",,"Phones
PCs (personal computers)
Desktop Computers/CPUs
Laptops/Notebooks
Servers
Mainframe computers
Keyboard, Mouse, etc.
Dehumidifiers
Scanners
Printers
Fax Machines
Power Supply Systems
Photocopiers
Telephone Systems
Computer Board/Parts
Flat Screen Monitors
Household Appliances
Electric Motors
Integrated Circuits
Microphones
VCR/DVD Players
Gaming Systems (Xbox, Nintendo, PlayStation, etc.)
Surge Protectors
CD Players
Cell Phones
Aluminum, copper, brass, steel",,https://www.cityofmobile.gov/public-works/recycling/,Mobile,30.63541927686160,-88.08937611677660
27,7450 Hitt Road,Mobile,AL,36695,Mobile County Recycling Center,"Monday – Saturday
7:00 AM – 5:30 PM

Sunday
10:00 AM to 5:30 PM",,"Phones
PCs (personal computers)
Desktop Computers/CPUs
Laptops/Notebooks
Servers
Mainframe computers
Keyboard, Mouse, etc.
Dehumidifiers
Scanners
Printers
Fax Machines
Power Supply Systems
Photocopiers
Telephone Systems
Computer Board/Parts
Flat Screen Monitors
Household Appliances
Electric Motors
Integrated Circuits
Microphones
VCR/DVD Players
Gaming Systems (Xbox, Nintendo, PlayStation, etc.)
Surge Protectors
CD Players
Cell Phones
Aluminum, copper, brass, steel",,https://www.mobilerecycles.com/,Mobile,30.66959043417530,-88.21702614561120
28,320 South Craft Hwy,Chickasaw,AL,36611,Ransom Recyling,"Monday - Friday
8:30 AM to 2:30 PM",,"Phones
PCs (personal computers)
Desktop Computers/CPUs
Laptops/Notebooks
Servers
Mainframe computers
Keyboard, Mouse, etc.
Dehumidifiers
Scanners
Printers
Fax Machines
Power Supply Systems
Photocopiers
Telephone Systems
Computer Board/Parts
Flat Screen Monitors
Household Appliances
Electric Motors
Integrated Circuits
Microphones
VCR/DVD Players
Gaming Systems (Xbox, Nintendo, PlayStation, etc.)
Surge Protectors
CD Players
Cell Phones
Aluminum, copper, brass, steel",,https://www.ransomrecycling.com/faq,Mobile,30.75901940338950,-88.07549821349340
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
