OBJECTID,Address,City,State,Zip Code,Location,Hours of Operation,Contact,Services Offered,More Information,Website,County,Latitude,Longitude
1,4851 Museum Drive,Mobile,AL,36608,City of Mobile Recycling Center,"Monday - Friday
7:00 AM to 5:00 PM

Saturday - Sunday
7:00 AM to 4:00 PM",(251) 208-5311,"Paper
Cardboard
Magazines & Catalogues
Newspaper
Cans & Lids
Aluminum / Tin / Steel
Metal Pots & Pans
Plastic Milk Jugs
Foil Baking Pans
Dry Pet Food Bags
Pizza Boxes
Plastics #1-7
Plastic Bottles
Cooking Oil/Grease Containers",,https://www.cityofmobile.gov/public-works/recycling/,Mobile,30.70342417262290,-88.15429255369730
2,308 Pinehill Drive,Mobile,AL,36606,City of Mobile Recycling Center,"Monday - Friday
7:00 AM to 5:00 PM

Saturday - Sunday
7:00 AM to 4:00 PM",(251) 208-5311,"Paper
Cardboard
Magazines & Catalogues
Newspaper
Cans & Lids
Aluminum / Tin / Steel
Metal Pots & Pans
Plastic Milk Jugs
Foil Baking Pans
Dry Pet Food Bags
Pizza Boxes
Plastics #1-7
Plastic Bottles
Cooking Oil/Grease Containers",,https://www.cityofmobile.gov/public-works/recycling/,Mobile,30.67631792433590,-88.09764578978860
3,1750 Dauphin Island Parkway,Mobile,AL,36605,City of Mobile Recycling Center,"Monday - Friday
7:00 AM to 5:00 PM

Saturday - Sunday
7:00 AM to 4:00 PM",(251) 208-5311,"Paper
Cardboard
Magazines & Catalogues
Newspaper
Cans & Lids
Aluminum / Tin / Steel
Metal Pots & Pans
Plastic Milk Jugs
Foil Baking Pans
Dry Pet Food Bags
Pizza Boxes
Plastics #1-7
Plastic Bottles
Cooking Oil/Grease Containers",,https://www.cityofmobile.gov/public-works/recycling/,Mobile,30.63541927686160,-88.08937611677660
4,7450 Hitt Road,Mobile,AL,36695,Mobile County Recycling Center,"Monday - Saturday
7:00 AM to 5:30 PM

Sunday
10:00 AM to 5:30 PM",(251) 459-8426,"Paper
Paperboard
Cardboard
Plastics #1-7
Glass
Aluminum
Steel
Plastic bags
Clothing
Flat Screen TVs/Monitors
Electronics (computers, printers, etc.)
Small Appliances
Cooking Oil/Grease Containers",,https://www.mobilerecycles.com/,Mobile,30.66959043417530,-88.21702614561120
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
