OBJECTID,Address,City,State,Zip Code,Location,Hours of Operation,Contact,Services Offered,More Information,Website,County,Latitude,Longitude
29,8700 Howells Ferry Road,Semmes,AL,36575,H&S Landfill,"Monday - Friday:
7:00 AM to 5:00 PM

Saturday:
7:00 AM to 3:00 PM

Sunday:
Closed",(251) 645-9702,Scrap Tires,"Tire recycling for $2.50 per tire
OR $12 per cubic yard at a $60 minimum

<BOL>Tires not accepted on Fridays or Saturdays</BOL>",https://www.cityofmobile.gov/public-works/sanitation/scrap-tires/,Mobile,30.72444497505470,-88.24708737690710
30,3105 Airport Boulevard,Mobile,AL,36606,Firestone Complete Auto Care,"Monday - Friday:
7:00 AM to 7:00 PM

Saturday:
7:00 AM to 6:00 PM

Sunday:
8:00 AM to 5:00 PM",(251) 295-9036,Scrap Tires,Tire recycling for $2.53 per tire,https://www.cityofmobile.gov/public-works/sanitation/scrap-tires/,Mobile,30.67605756889210,-88.11743749040250
31,6417 Airport Boulevard,Mobile,AL,36608,Firestone Complete Auto Care,"Monday - Friday:
7:00 AM to 7:00 PM

Saturday:
7:00 AM to 6:00 PM

Sunday:
8:00 AM to 5:00 PM",(251) 298-5107,Scrap Tires,FREE tire recycling (limit 4 tires per visit),https://www.cityofmobile.gov/public-works/sanitation/scrap-tires/,Mobile,30.67867362437540,-88.19181260204710
32,2570 Schillinger Road S.,Mobile,AL,36695,Firestone Complete Auto Care,"Monday - Friday:
7:00 AM to 7:00 PM

Saturday:
7:00 AM to 6:00 PM

Sunday:
8:00 AM to 5:00 PM",(251) 415-4291,Scrap Tires,Tire recycling for $2.00 per tire,https://www.cityofmobile.gov/public-works/sanitation/scrap-tires/,Mobile,30.63754735159140,-88.22546924622630
33,1516 Government Street,Mobile,AL,36604,Firestone Complete Auto Care,"Monday - Friday:
7:00 AM to 7:00 PM

Saturday:
7:00 AM to 6:00 PM

Sunday:
8:00 AM to 5:00 PM",(251) 272-3196,Scrap Tires,Tire recycling for $2.00 per tire,https://www.cityofmobile.gov/public-works/sanitation/scrap-tires/,Mobile,30.68064509420280,-88.07372438855360
34,5565 Old Pascagoula Road,Mobile,AL,36606,Firestone Complete Auto Care,"Monday - Friday:
7:00 AM to 7:00 PM

Saturday:
7:00 AM to 6:00 PM

Sunday:
8:00 AM to 5:00 PM",(251) 295-9036,Scrap Tires,Tire recycling for $2.00 per tire,https://www.cityofmobile.gov/public-works/sanitation/scrap-tires/,Mobile,30.58865793786060,-88.17089651924140
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
